"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Dead Neck-Sampsons I., MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haystack Point, MV, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Beach, MV, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menemsha Pond, MV, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norton Pt., MV, MA",0,0,0,0,0,0,0,0,0,0,0,0.748722359883347,0.2,0,1.3,1.2,0,0.582531419211353
"Smith Point, Nantucket, Ma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muskeget I., Nantucket, MA",0,0.344430114376748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muskeget sandbars, Nantucket, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bird I., Marion, MA",1.4,1.4,1.1,1,1.02,1.25,1.25,0.95,1.29,1.26,1.12,1.44,1.33,1.23,1.12,1.34,0.85,0.86
"Ram I., Mattapoisett, MA",1.45,1.04,1.11,1.05,0.96,1.14,0.92,0.93,1,1.16,1.25,1.04,1.3,1.1,1.31,1.31,0.98,0.87
"Nashawena I., Gosnold, MA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penikese I., Gosnold, MA",0,0,0,0,0,0.87,0.97,0.79,0.44,1.54,1.42,0.73,0.701525698361967,0.663190282264089,0.11,0,1.08,1.12
"Duck I., CT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuxis I., CT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Falkner I., CT",0.74,0.7,0.75,0.72,0.18,0.26,0.53,0.67,0.34,0.54,1.06,1.15,0.98,0.91,0.87,1,0.64,1.02
"Shore Rock, Ocean Pt., CT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Gull I., NY",1.5,1.4,1.27,1.13,0.9,1,1.17,1.6,1.3,0.9,0.98,1.1,1.4,1.3,0.8,1.16,1,1.25
"Gardiners Point I. (Fort Tyler), NY",0,0,0,0,0,0.158617263856204,0,0,0,0,0,0,0,0,0,0,0,0
"Gardiners I., NY",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gardiners I.-Cartwright Pt., NY",0,0,0,0.75,0.652359828284962,0.778213861930763,0.941119590528164,0.868225027357747,0.710689209313182,0.957522666607631,0.654028511210286,0.63628380927195,0,0,0,0,0,0
"Hicks I., E. Hampton, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young’s I., Smithtown, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warner Is., Southampton, NY",1.05,1.17,0,0,0,0,0.132073296471545,0,0,0,0,0,0,0,0,0,0,0
"Lanes I., Southampton, NY",0.669825990433521,0,0,0,0,0.238720097606068,0.285737194357872,0.224888998737581,0,0.20202930751401,0,0,0,0,0,0,0,0
"Greater Greenbacks I., Southampton, NY",0.20505292927362,0,0,0.242302929078488,0.0853900822197157,0,0,0,0.170787065754967,0.20202930751401,0.227624103098958,0.217449544435702,0,0,0,0,0,0
"E. Inlet I., Brookhaven, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pattersquash I., Brookhaven, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sexton I., Islip, NY",0,0,0,0,0,0.158617263856204,0.200070654516807,0,0,0,0,0,0,0,0,0,0,0
"Cedar Beach, Babylon, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goose Flat, Babylon, NY",0.541262709387614,0.14351818818393,0.149806052961998,0.242302929078488,0.0853900822197157,0,0.43255515723769,1.82,0.524539457820284,0.20202930751401,0.150218698581565,0,0,0,0,0,0,0
"West End Jones Beach, Hempstead, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breezy Point, Queens City, NY",0.33940247347504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
